,Postcode,Latitude,Longitude
0,V6A,49.2711195,-123.1005848
1,V6B,49.2782258,-123.1057796
2,V6C,49.2918098,-123.1159886
3,V6E,49.2875369,-123.1203888
4,V6G,49.2997229,-123.1377908
5,V6H,49.2577468,-123.1329205
6,V6J,49.2616133,-123.1457964
7,V5K,49.2819669,-123.0400039
8,V6K,49.2693769,-123.1650655
9,V5L,49.2788393,-123.0668426
10,V6L,49.2505265,-123.1658481
11,V5M,49.2580527,-123.0401549
12,V6M,49.2378181,-123.1452847
13,V5N,49.253451,-123.066309
14,V6N,49.2379179,-123.1626348
15,V5P,49.22237,-123.0683154
16,V6P,49.2260859,-123.1166419
17,V5R,49.2400053,-123.0412036
18,V6R,49.2674077,-123.1963317
19,V5S,49.2156768,-123.041565
20,V6S,49.2491,-123.2088
21,V5T,49.261967,-123.0911931
22,V6T,49.2585106,-123.2266618
23,V5V,49.2476342,-123.0906046
24,V5W,49.2329609,-123.0912845
25,V5X,49.2151716,-123.0970026
26,V7X,49.2875369,-123.1203888
27,V5Y,49.2512164,-123.1100753
28,V7Y,49.2824533,-123.1191624
29,V5Z,49.2508708,-123.1213886
30,V6Z,49.2780432,-123.1277779
